"COUNTRY, AREA OR TERRITORY",Year,"Population (thousands)", RURAL Available when needed,RURAL Free from contamination,URBAN Available when needed, URBAN Free from contamination,TOTAL Available when needed, TOTAL Free from contamination
Australia and New Zealand,2000,   22 990,,,,100,90,
Australia and New Zealand,2001,   23 257,,,,100,91,
Australia and New Zealand,2002,   23 546,,,,100,91,
Australia and New Zealand,2003,   23 842,,,,100,92,
Australia and New Zealand,2004,   24 131,,,,100,92,
Australia and New Zealand,2005,   24 429,,,,100,93,
Australia and New Zealand,2006,   24 772,,,,100,93,
Australia and New Zealand,2007,   25 178,,,,100,94,
Australia and New Zealand,2008,   25 632,,,,100,94,
Australia and New Zealand,2009,   26 087,,,,100,94,
Australia and New Zealand,2010,   26 489,,,,100,95,
Australia and New Zealand,2011,   26 862,,,,100,95,
Australia and New Zealand,2012,   27 264,,,,100,96,
Australia and New Zealand,2013,   27 690,,,,100,96,
Australia and New Zealand,2014,   28 119,,,,100,96,
Australia and New Zealand,2015,   28 562,,,,100,96,
Australia and New Zealand,2016,   29 045,,,,100,96,
Australia and New Zealand,2017,   29 544,,,,100,96,
Australia and New Zealand,2018,   30 021,,,,100,96,
Australia and New Zealand,2019,   30 472,,,,100,96,
Australia and New Zealand,2020,   30 814,,,,100,96,
Australia and New Zealand,2021,   31 064,,,,100,96,
Australia and New Zealand,2022,   31 333,,,,100,96,
Australia and New Zealand,2023,   31 624,,,,100,96,
Australia and New Zealand,2024,   31 927,,,,100,96,
Central and Southern Asia,2000,1 534 794,66,47,87,83,72,58
Central and Southern Asia,2001,1 563 977,67,48,87,83,73,58
Central and Southern Asia,2002,1 592 671,67,48,87,83,73,59
Central and Southern Asia,2003,1 621 101,68,48,87,83,74,59
Central and Southern Asia,2004,1 649 885,69,49,87,84,74,60
Central and Southern Asia,2005,1 678 121,70,49,87,84,75,60
Central and Southern Asia,2006,1 705 977,70,49,87,84,75,60
Central and Southern Asia,2007,1 733 040,71,50,87,84,76,61
Central and Southern Asia,2008,1 759 490,72,50,86,84,77,61
Central and Southern Asia,2009,1 786 570,72,52,86,84,77,62
Central and Southern Asia,2010,1 813 842,73,53,86,84,78,63
Central and Southern Asia,2011,1 840 842,74,55,86,84,78,65
Central and Southern Asia,2012,1 867 238,75,57,86,84,79,66
Central and Southern Asia,2013,1 892 781,76,58,86,84,79,67
Central and Southern Asia,2014,1 917 606,76,60,86,84,80,68
Central and Southern Asia,2015,1 941 567,77,62,86,85,80,70
Central and Southern Asia,2016,1 965 448,78,63,86,85,81,71
Central and Southern Asia,2017,1 989 429,79,65,85,85,81,72
Central and Southern Asia,2018,2 013 149,79,67,85,85,82,74
Central and Southern Asia,2019,2 036 731,80,69,85,85,82,75
Central and Southern Asia,2020,2 059 942,81,70,85,85,82,76
Central and Southern Asia,2021,2 081 130,82,72,85,85,83,77
Central and Southern Asia,2022,2 101 809,83,74,85,86,83,78
Central and Southern Asia,2023,2 123 893,83,76,85,86,84,80
Central and Southern Asia,2024,2 146 282,84,78,85,86,84,81
Eastern and SouthEastern Asia,2000,2 025 350,65,,94,81,77,69
Eastern and SouthEastern Asia,2001,2 043 034,66,,94,81,77,69
Eastern and SouthEastern Asia,2002,2 060 302,66,,94,81,78,70
Eastern and SouthEastern Asia,2003,2 076 016,67,,94,81,79,71
Eastern and SouthEastern Asia,2004,2 091 446,68,,94,81,80,71
Eastern and SouthEastern Asia,2005,2 107 133,69,,94,81,81,72
Eastern and SouthEastern Asia,2006,2 123 271,70,,94,81,81,72
Eastern and SouthEastern Asia,2007,2 139 701,71,,94,81,82,73
Eastern and SouthEastern Asia,2008,2 156 408,72,,94,81,83,74
Eastern and SouthEastern Asia,2009,2 173 485,73,,94,81,83,74
Eastern and SouthEastern Asia,2010,2 190 840,74,,94,81,84,75
Eastern and SouthEastern Asia,2011,2 207 927,75,,94,81,85,75
Eastern and SouthEastern Asia,2012,2 225 809,76,,94,82,86,76
Eastern and SouthEastern Asia,2013,2 243 785,77,,94,82,86,76
Eastern and SouthEastern Asia,2014,2 260 819,78,,95,82,87,76
Eastern and SouthEastern Asia,2015,2 276 839,79,43,95,83,88,65
Eastern and SouthEastern Asia,2016,2 292 382,80,43,95,83,89,66
Eastern and SouthEastern Asia,2017,2 307 986,82,44,95,83,89,67
Eastern and SouthEastern Asia,2018,2 321 416,83,44,95,84,90,67
Eastern and SouthEastern Asia,2019,2 332 292,84,45,95,84,91,68
Eastern and SouthEastern Asia,2020,2 340 521,85,45,96,84,91,69
Eastern and SouthEastern Asia,2021,2 345 241,86,45,96,84,92,69
Eastern and SouthEastern Asia,2022,2 348 163,87,46,96,85,93,70
Eastern and SouthEastern Asia,2023,2 350 146,88,46,96,85,93,71
Eastern and SouthEastern Asia,2024,2 351 265,88,58,96,85,93,75
Europe and Northern America,2000,1 038 228,,83,96,98,,94
Europe and Northern America,2001,1 041 401,,83,96,98,,94
Europe and Northern America,2002,1 045 408,,82,96,98,,94
Europe and Northern America,2003,1 049 786,,82,96,98,,94
Europe and Northern America,2004,1 053 834,,82,96,98,,94
Europe and Northern America,2005,1 057 877,89,82,96,98,95,94
Europe and Northern America,2006,1 062 486,90,82,96,98,95,94
Europe and Northern America,2007,1 067 151,90,82,96,98,95,94
Europe and Northern America,2008,1 072 294,90,82,96,98,95,94
Europe and Northern America,2009,1 077 117,90,82,96,98,95,94
Europe and Northern America,2010,1 081 743,90,82,97,98,95,94
Europe and Northern America,2011,1 086 354,90,82,97,98,95,94
Europe and Northern America,2012,1 090 817,90,82,97,98,95,94
Europe and Northern America,2013,1 095 184,90,83,97,98,95,94
Europe and Northern America,2014,1 099 707,91,83,97,98,95,94
Europe and Northern America,2015,1 104 672,91,83,97,98,95,94
Europe and Northern America,2016,1 109 900,91,83,97,98,95,95
Europe and Northern America,2017,1 114 800,91,83,97,98,95,95
Europe and Northern America,2018,1 119 274,91,83,97,98,96,95
Europe and Northern America,2019,1 123 448,91,84,97,98,96,95
Europe and Northern America,2020,1 125 507,91,84,97,98,96,95
Europe and Northern America,2021,1 125 614,91,84,97,99,96,95
Europe and Northern America,2022,1 125 728,92,84,97,99,96,95
Europe and Northern America,2023,1 126 806,92,84,97,99,96,96
Europe and Northern America,2024,1 128 694,92,84,97,99,96,96
Latin America and the Caribbean,2000,  521 323,57,42,84,79,77,70
Latin America and the Caribbean,2001,  528 626,58,42,84,79,77,70
Latin America and the Caribbean,2002,  535 741,58,42,84,79,78,71
Latin America and the Caribbean,2003,  542 688,59,43,83,79,78,71
Latin America and the Caribbean,2004,  549 494,59,43,83,79,78,71
Latin America and the Caribbean,2005,  556 212,60,44,83,80,78,72
Latin America and the Caribbean,2006,  562 855,60,45,83,80,78,72
Latin America and the Caribbean,2007,  569 468,61,45,83,80,78,72
Latin America and the Caribbean,2008,  576 049,61,46,83,80,78,72
Latin America and the Caribbean,2009,  582 545,62,46,83,80,78,73
Latin America and the Caribbean,2010,  588 908,62,46,83,80,79,73
Latin America and the Caribbean,2011,  595 243,63,47,83,80,79,73
Latin America and the Caribbean,2012,  601 577,63,47,83,80,79,73
Latin America and the Caribbean,2013,  607 837,64,48,83,81,79,74
Latin America and the Caribbean,2014,  614 015,64,48,83,81,79,74
Latin America and the Caribbean,2015,  620 043,65,49,83,81,80,75
Latin America and the Caribbean,2016,  625 923,66,49,84,82,80,75
Latin America and the Caribbean,2017,  631 575,67,49,84,82,81,75
Latin America and the Caribbean,2018,  637 012,68,50,84,82,81,76
Latin America and the Caribbean,2019,  642 196,69,50,85,82,82,76
Latin America and the Caribbean,2020,  646 729,70,51,85,83,82,77
Latin America and the Caribbean,2021,  650 465,71,51,85,83,83,77
Latin America and the Caribbean,2022,  654 367,72,51,86,83,83,77
Latin America and the Caribbean,2023,  658 892,73,52,86,84,84,78
Latin America and the Caribbean,2024,  663 466,74,52,86,84,84,78
Northern Africa and Western Asia,2000,  362 460,55,,75,80,66,74
Northern Africa and Western Asia,2001,  369 968,55,,75,80,67,74
Northern Africa and Western Asia,2002,  377 563,56,,75,80,67,74
Northern Africa and Western Asia,2003,  385 181,56,,75,80,67,74
Northern Africa and Western Asia,2004,  392 909,57,,76,80,67,74
Northern Africa and Western Asia,2005,  400 956,57,,76,80,68,75
Northern Africa and Western Asia,2006,  409 344,58,,76,80,69,75
Northern Africa and Western Asia,2007,  418 225,59,,77,80,69,76
Northern Africa and Western Asia,2008,  427 531,59,,77,81,70,76
Northern Africa and Western Asia,2009,  436 888,60,,78,81,70,77
Northern Africa and Western Asia,2010,  446 081,60,,78,81,71,77
Northern Africa and Western Asia,2011,  455 432,61,,78,81,71,77
Northern Africa and Western Asia,2012,  465 277,61,,79,81,72,78
Northern Africa and Western Asia,2013,  475 599,62,,79,80,72,78
Northern Africa and Western Asia,2014,  486 457,62,,79,81,72,78
Northern Africa and Western Asia,2015,  497 571,63,,79,81,73,79
Northern Africa and Western Asia,2016,  508 025,63,,79,81,73,79
Northern Africa and Western Asia,2017,  517 512,63,,80,81,73,80
Northern Africa and Western Asia,2018,  526 457,64,,80,80,74,80
Northern Africa and Western Asia,2019,  535 333,64,,80,80,74,80
Northern Africa and Western Asia,2020,  543 949,65,,80,80,75,81
Northern Africa and Western Asia,2021,  552 427,65,,80,80,75,81
Northern Africa and Western Asia,2022,  562 409,66,,81,80,75,81
Northern Africa and Western Asia,2023,  572 507,67,,81,80,76,82
Northern Africa and Western Asia,2024,  581 482,67,,81,80,76,82
Oceania,2000,    8 363,23,,54,,30,
Oceania,2001,    8 590,23,,54,,30,
Oceania,2002,    8 819,23,,54,,30,
Oceania,2003,    9 052,23,,54,,30,
Oceania,2004,    9 288,22,,53,,30,
Oceania,2005,    9 526,23,,53,,30,
Oceania,2006,    9 768,23,,53,,30,
Oceania,2007,   10 012,24,,53,,31,
Oceania,2008,   10 258,24,,53,,31,
Oceania,2009,   10 506,25,,53,,31,
Oceania,2010,   10 764,26,,53,,32,
Oceania,2011,   11 027,26,,53,,32,
Oceania,2012,   11 286,27,,53,,33,
Oceania,2013,   11 543,27,,53,,33,
Oceania,2014,   11 800,28,,53,,34,
